Canada,"","","","","","","","","","",""
1995-99 ,21.1 ,56.8 ,56.5 ,12.1 ,15.1 ,83.7 ,66.2 ,36.5 ,87.5 ,46.8 ,85.8
"",(20.4-21.9) ,(56.3-57.3) ,(55.4-57.5) ,(11.2-13.1) ,(14.8-15.3) ,(83.3-84.1) ,(64.8-67.5) ,(35.3-37.7) ,(87.1-87.9) ,(45.9-47.8) ,(83.4-88.2)
2000-04 ,23.1 ,60.1 ,60.5 ,15.4 ,15.6 ,85.3 ,67.5 ,35.5 ,91.0 ,52.4 ,91.0
"",(22.3-23.9) ,(59.6-60.6) ,(59.6-61.5) ,(14.5-16.4) ,(15.4-15.9) ,(84.9-85.7) ,(66.1-68.8) ,(34.4-36.6) ,(90.7-91.4) ,(51.5-53.2) ,(89.0-92.9)
2005-09 ,24.8 ,62.8 ,62.8 ,17.7 ,17.3 ,85.8 ,66.8 ,37.5 ,91.7 ,55.2 ,90.6
"",(24.0-25.6) ,(62.4-63.3) ,(61.9-63.7) ,(16.8-18.7) ,(17.1-17.6) ,(85.5-86.2) ,(65.4-68.1) ,(36.3-38.6) ,(91.4-92.0) ,(54.4-56.0) ,(88.6-92.7)
US registries,"","","","","","","","","","",""
1995-99 ,22.1 ,60.5 ,60.0 ,8.5 ,15.2 ,86.0 ,64.2 ,38.9 ,93.2 ,44.5 ,83.1
"",(21.8-22.5) ,(60.3-60.7) ,(59.6-60.4) ,(8.2-8.8) ,(15.1-15.3) ,(85.8-86.1) ,(63.6-64.7) ,(38.5-39.2) ,(93.0-93.3) ,(44.2-44.9) ,(82.1-84.0)
2000-04 ,25.8 ,63.7 ,63.1 ,11.9 ,16.6 ,87.9 ,63.6 ,39.6 ,96.4 ,48.8 ,86.6
"",(25.5-26.2) ,(63.5-63.9) ,(62.7-63.4) ,(11.7-12.2) ,(16.5-16.7) ,(87.8-88.1) ,(63.1-64.1) ,(39.3-40.0) ,(96.3-96.5) ,(48.5-49.1) ,(85.8-87.4)
2005-09 ,29.1 ,64.7 ,64.0 ,15.2 ,18.7 ,88.6 ,62.8 ,40.9 ,97.2 ,51.8 ,87.7
"",(28.7-29.4) ,(64.5-64.9) ,(63.6-64.3) ,(14.9-15.5) ,(18.6-18.8) ,(88.5-88.7) ,(62.3-63.3) ,(40.5-41.2) ,(97.0-97.3) ,(51.5-52.1) ,(86.9-88.4)
